mAb_name,AbStruc_loops,AbStruc_amide_amide_interactions,AbStruc_amide_ring_interactions,AbStruc_beta_bridges,AbStruc_carbon_pi_interactions,AbStruc_cation_pi_interactions,AbStruc_donor_pi_interactions,AbStruc_beta_strands,AbStruc_threeten_helices,AbStruc_alpha_helices,AbStruc_total_interactions,AbStruc_metsulphur_pi_interactions,AbStruc_beta_bends,AbStruc_beta_turns,AbStruc_aromatic_interactions,AbStruc_atom_atom_sum,AbStruc_atom_plane_sum,AbStruc_carbonyl_interactions,AbStruc_steric_clashes,AbStruc_covbonds,AbStruc_mean_interaction_distance,AbStruc_hbonds,AbStruc_hydrophobic_interactions,AbStruc_ibonds,AbStruc_phi_angle,AbStruc_plane_plane_interactions,AbStruc_pbonds,AbStruc_proximal_interactions,AbStruc_psi_angle,AbStruc_vdw_interactions,AbStruc_vdw_clashes,AbStruc_weak_pbonds,AbStruc_folding_energy,AbStruc_unfolded_charge,AbStruc_folded_charge,AbStruc_sasa,AbStruc_schains_sasa,AbStruc_lauer_SAP,AbStruc_lauer_DI,AbStruc_free_cys,AbStruc_cys_bridges,AbStruc_pcharge_hetrgen,AbStruc_ncharge_hetrgen,AbStruc_plane_group_interactions,AbStruc_folded_pI,AbStruc_unfolded_pI
Icrucumab,49,7,10,0,50,3,7,123,15,0,8725,4,18,29,38,8637,62,50,0,2,4.317365042979942,190,553,33,-84.305999755859375,9,266,8185,100.35680389404295,132,318,203,13.56,3.79,4.06,11119.178307790016,8424.635935237333,26.602460999604585,26.271570999604585,4,2,6.049848860286398,4.995046132572285,17,9.1,8.9
Idactamab,47,11,8,1,42,2,10,113,6,0,9056,0,26,35,71,8967,53,50,0,1,4.286322879858657,193,630,20,-81.38685607910156,17,261,8370,96.7188491821289,133,463,229,13.87,10.54,11.14,10447.914456142746,8304.70103272574,28.954330006151704,28.046420006151703,4,2,5.066129765010759,5.416358279883902,19,10.1,9.77
Imgatuzumab,56,8,10,0,35,1,5,113,12,0,8587,10,20,25,40,8509,50,53,0,1,4.294637242343076,180,556,25,-81.35795593261719,10,262,7990,100.93980407714844,154,364,248,1.35,8.31,7.55,10829.788911480358,8357.466068334541,27.21228908947583,26.596964089475836,4,2,5.846814146958439,4.510037446999212,18,10,10
Abituzumab,52,5,11,0,45,0,6,114,9,0,8502,11,17,33,53,8405,62,46,0,2,4.295978593272171,177,613,19,-81.54664611816406,19,241,7852,98.19157409667967,147,404,235,6.96,3.31,2.82,10938.015498119095,8469.809604964747,26.94910503054588,26.71927503054588,4,2,5.6410996854813815,4.323629772232305,16,9,9
Andecaliximab,55,10,9,1,42,0,2,107,9,0,8192,6,22,28,15,8112,50,37,0,2,4.314259033203125,173,540,25,-83.11620330810547,11,244,7626,100.16081237792967,131,353,213,0.6,5.3,4.96,10446.155635839326,8246.990105871462,28.639698191932844,28.23545819193284,4,2,5.895689441826746,5.182743554857563,19,9.55,9.26
Intetumumab,51,11,11,1,46,1,6,115,9,0,9248,2,19,32,96,9151,54,49,0,1,4.303107698961938,208,641,40,-83.824676513671875,21,283,8597,96.68373107910156,110,443,231,17.47,6.08,6.93,10323.99750663374,7968.688299070141,25.69694267461724,25.13214767461724,4,2,5.52405529713463,4.914700177461103,22,10,9.6
Isatuximab,53,5,13,3,51,6,10,108,15,0,8726,4,16,32,24,8627,67,55,0,2,4.319931239972496,186,578,20,-83.28767395019531,14,253,8208,96.86344146728516,123,294,209,8.28,2.54,2,10521.587097678124,8077.885105839545,28.35748665569504,28.19448665569504,4,2,5.23443066364782,4.582104719138755,18,8.43,8.43
Ivuxolimab,53,12,10,0,57,5,16,113,12,0,9104,3,17,30,37,8990,78,45,0,2,4.292063927943761,191,665,26,-82.62669372558594,14,270,8445,102.63199615478516,139,404,222,10.07,0.83,1.22,10145.104081229716,7616.619019461203,25.568838787546376,25.46940878754637,4,2,5.154726618415852,4.722746203260436,22,8,8
Lambrolizumab,51,6,10,0,49,9,12,121,9,0,8867,7,18,32,26,8771,71,46,0,2,4.316592985226119,183,612,27,-82.24458312988281,9,242,8302,102.265380859375,139,328,212,22.71,4.32,4.36,10621.211711685137,7978.180561009465,27.47678103165361,27.12144103165361,4,2,5.4514141143633434,4.656189985007979,16,9.5,9.1
Anifrolumab,44,10,7,1,46,2,6,123,18,0,8663,3,15,24,38,8577,55,48,0,2,4.310050790719151,192,603,36,-84.7151107788086,14,257,8109,100.09415435791016,123,343,220,13.65,2.08,2.81,10419.9117098876,8059.496505642054,26.319853301514147,26.090838301514147,4,2,5.706324358891355,4.893818871495076,17,8.8,8.5
Landogrozumab,45,11,12,0,48,4,10,120,12,0,8498,3,12,32,28,8403,62,46,0,2,4.306190868439633,181,556,23,-84.41309356689453,10,255,7908,95.90363311767578,127,366,234,12.2,5.79,4.95,10213.052779405352,7719.977516079878,26.241720427490968,25.83829542749097,4,2,5.564368424998834,4.159972963842155,23,9.74,9.4
Lebrikizumab,49,16,14,0,50,0,7,117,12,0,8731,8,20,31,19,8631,65,56,0,1,4.313832321612645,198,662,27,-82.3410415649414,5,263,8159,100.9222640991211,149,322,213,12.01,0.07,0.5,10717.672189198009,8376.198400876814,29.37324150974639,29.33249150974639,4,2,5.463581267222293,4.998939715051157,30,7.3,7.1
Levilimab,49,14,9,0,47,2,6,119,12,0,8942,3,17,34,60,8851,57,45,0,2,4.313989040483113,198,585,17,-83.001739501953125,11,264,8326,98.21946716308594,150,373,210,6.97,3.07,2.65,10481.26919987484,8042.994605511705,27.919688791482155,27.703713791482155,4,2,4.512360745790015,4.830403875158259,23,9,9
Ligelizumab,55,6,9,0,53,0,11,115,12,0,8943,6,16,31,54,8845,70,46,0,2,4.300012300123002,191,686,23,-83.08953094482422,13,255,8304,99.94327545166016,144,395,237,10.14,-0.43,-0.26,10628.6091536137,8071.720874882559,27.87606758306576,27.89725758306576,4,2,5.502941764027259,4.902982224402744,15,7,7
Ansuvimab,52,12,9,1,46,1,7,114,12,0,8559,4,17,30,20,8471,57,45,0,2,4.313999298983527,203,564,23,-82.80177307128906,10,269,7989,94.696441650390625,161,319,213,8.59,4.55,3.75,10310.437500569618,7899.918115129826,27.2174944023802,26.9118694023802,4,2,5.644145633166335,4.888583265336833,21,9.66,9.34
Lirilumab,56,7,8,0,40,0,6,111,12,0,8664,11,18,32,10,8587,57,48,0,2,4.302583102493075,187,602,28,-83.51355743408203,5,255,8089,95.989990234375,125,371,226,17.94,1.83,2.27,10569.47739912964,8107.567252304269,29.00309468589466,28.81808968589466,4,2,5.643657287801537,4.897723353359931,15,8.55,8.47
Lonigutamab,51,7,9,0,41,1,8,114,12,0,8743,12,16,33,35,8652,61,54,0,2,4.301944412672996,171,593,13,-83.78275299072266,14,244,8127,102.94781494140624,154,369,239,5.56,8.06,7.51,10493.00986170854,8099.8003920187,26.50990993202912,25.89784493202912,4,2,5.425595687618936,4.413191824037789,16,10,10
Lumretuzumab,50,13,6,0,48,1,11,120,15,0,8916,6,16,31,21,8819,65,50,0,2,4.311317855540601,187,525,17,-82.29048156738281,13,267,8324,99.84661102294922,124,369,232,14.95,6.07,6.48,10847.31889856956,8401.908680162524,27.884398533090646,27.356278533090645,4,2,5.174947434679148,4.646914401441411,19,9.55,9.36
Lusvertikimab,49,11,7,0,44,3,5,119,9,0,8588,3,18,34,38,8507,53,44,0,2,4.313996273870517,195,625,27,-84.54015350341797,10,261,8025,99.08819580078124,144,336,207,7.06,4.3,4.11,10915.427548223464,8395.853626518872,28.728979332100952,28.39401433210095,4,2,5.291377396853303,4.908770129760086,18,9.39,9.04
Maftivimab,56,9,9,0,36,0,2,114,6,0,8186,3,16,32,9,8123,41,44,0,2,4.319279257268507,188,529,24,-82.44551086425781,4,263,7670,100.68971252441406,124,327,204,6.31,6.07,5.61,10941.62200682471,8324.377964274569,28.55684374436476,28.09962874436476,4,2,5.755444598219282,4.860511395179756,18,9.7,9.6
Mavezelimab,50,10,8,0,38,0,3,118,12,0,8421,10,17,32,14,8347,51,48,0,2,4.305534972093575,191,544,32,-81.66072082519531,5,251,7870,99.1288070678711,138,337,234,20.29,-2.82,-1.36,11301.749525826945,8793.773083621894,27.261227008669906,27.3720670086699,4,2,5.408522925413402,4.724495420508513,18,6.3,5.27
Mavrilimumab,55,9,7,5,33,0,5,109,6,0,8153,7,12,42,8,8088,45,41,0,2,4.314393474794554,169,524,18,-77.24107360839844,4,239,7620,95.03361511230467,133,333,214,11.18,-1.67,-2.47,10835.588247673966,8106.514160066995,28.252534737924663,28.453839737924664,4,2,4.835775060393835,3.3830539053900224,16,6,6
Mepolizumab,49,17,10,0,52,0,6,116,12,0,9009,1,21,34,33,8909,59,58,0,1,4.303098013098013,196,654,39,-82.23619079589844,14,265,8372,99.88316345214844,141,395,232,14.47,4.31,4.87,10729.09823477498,8298.504332376393,28.7806923987246,28.3837873987246,4,2,5.584864036766376,5.455335094462248,27,9.6,9.3
Mirikizumab,52,2,10,3,41,2,7,106,12,0,8124,6,19,30,62,8039,55,43,0,2,4.311127523387494,168,577,14,-82.491912841796875,18,230,7569,97.69593811035156,126,342,217,8.86,7.31,6.92,10828.49777309745,8385.684082953494,26.792340025676733,26.22836002567673,4,2,5.34379516458718,4.097438439356508,12,9.9,9.6
Mitazalimab,50,13,8,5,36,5,7,113,12,0,8629,7,12,38,39,8544,52,38,0,2,4.310913199675513,210,543,14,-82.44737243652344,12,274,8034,94.999542236328125,143,365,232,10.11,4.07,4.03,10300.968059565974,7604.523919782502,26.42838030632701,26.099935306327016,4,2,4.64500493103515,4.566866509368056,21,9.59,9.22
Monalizumab,54,4,9,0,47,6,14,113,9,0,8934,8,24,32,59,8832,72,50,0,2,4.295120886501007,192,590,27,-86.47370910644531,17,261,8265,102.12158203125,155,410,239,15.78,3.55,2.77,10833.000176737818,8362.537473822695,27.69373906484492,27.46798406484492,4,2,5.616658312854052,4.015542027091601,13,9,9
Motavizumab,52,6,15,0,45,0,7,114,12,0,8814,3,18,30,80,8717,55,41,0,3,4.31082368958475,194,636,28,-86.12078094482422,21,257,8225,108.96945190429688,133,356,224,12.4,5.31,6.9,10263.775009567304,8006.666923253409,27.62895281737437,27.06660281737437,4,2,5.04401468805031,5.436767096980738,21,9.88,9.41
Nadecnemab,55,12,7,1,37,2,9,111,15,0,8841,8,20,29,65,8757,55,50,0,2,4.301092636579573,194,593,28,-82.80732727050781,10,257,8235,97.03678894042967,146,374,244,5.69,5.06,5.83,10269.77375769294,7691.826614907638,27.933434715189147,27.458289715189142,4,2,5.175306417523998,4.657550841379771,19,9.6,9.4
Astegolimab,51,13,13,0,45,1,10,115,9,0,8839,3,21,32,33,8745,58,47,0,2,4.301873515103518,185,620,14,-85.09520721435547,10,263,8236,98.704803466796875,139,368,238,25.73,-0.93,-0.34,10424.68056028105,8029.309776689021,27.23540271859025,27.263112718590257,4,2,5.729204294602073,4.871417189102084,26,6.82,6.03
Narsoplimab,50,8,7,5,27,0,5,108,12,0,7821,1,17,32,10,7771,33,43,0,2,4.313807697225418,175,463,26,-84.981689453125,2,236,7340,101.73036193847656,127,302,212,4.54,7.07,6.8,11194.654690498735,8780.915361240573,30.473385133810822,29.91918513381082,4,2,4.445081901916163,4.6835271021367895,15,10,10
Nirsevimab,57,9,7,0,38,0,2,116,12,0,8355,6,18,30,28,8285,46,44,0,1,4.321013764213047,185,518,16,-85.92271423339844,8,265,7874,99.96007537841795,112,298,215,14.24,-6.68,-5.89,10928.40259570646,8376.0923281525,29.77967853642389,30.25971353642389,4,2,5.752095150984444,4.7213130254500655,16,5.1,4.8
Nivolumab,50,10,8,2,56,1,7,109,9,0,8273,3,18,32,22,8184,66,49,0,1,4.318693339780007,191,553,35,-83.23273468017578,5,255,7797,99.2595672607422,88,298,183,8.86,5.08,5.42,10759.872000662908,8476.599787221614,26.6377881073646,26.1960581073646,4,2,5.545710406967883,4.948901191990664,18,9.79,9.45
Obexelimab,60,7,7,2,38,2,6,109,12,0,9120,8,17,32,48,9042,52,43,0,2,4.294196271929824,199,640,31,-79.61207580566406,12,290,8417,98.52202606201172,158,465,247,9.36,2.32,1.94,10840.416501877093,8363.523713257151,28.32008080863253,28.161970808632528,4,2,5.82279060456529,4.452265315745584,14,8.51,8.43
Obiltoxaximab,48,4,10,0,41,3,7,117,12,0,8761,8,17,32,13,8676,57,60,0,2,4.303942472320512,187,563,35,-84.2968978881836,14,269,8154,105.00796508789062,153,367,238,0.38,5.83,6.25,10738.229524445427,8286.796312203096,25.57634809827902,25.06697309827902,4,2,5.257381864363318,4.37394423621089,14,9.68,9.5
Ocaratuzumab,56,12,10,0,55,4,10,111,12,0,8936,3,20,28,96,8824,69,45,0,2,4.293311324977617,186,600,34,-83.563873291015625,21,263,8271,99.12428283691406,147,404,251,10.86,6.32,5.95,10629.654726446572,8177.7417218596,28.768460450270396,28.283535450270392,4,2,6.005605077533502,4.764655153169111,22,9.75,9.5
Ociperlimab,54,14,7,0,45,4,12,111,12,0,9153,7,21,28,62,9051,66,47,0,2,4.299242871189774,182,639,16,-81.70841217041016,15,248,8502,100.46685791015624,137,410,248,14.34,3.07,3.62,9884.705014779916,7339.049054276789,24.576093556587843,24.28106355658784,4,2,4.822347199200624,4.598750427664046,21,9.18,8.84
Odesivimab,51,18,5,0,42,2,6,120,12,0,9087,3,16,32,62,8996,51,44,0,2,4.318085176625949,200,599,27,-84.4874496459961,17,273,8501,101.84070587158205,157,336,249,14.89,2.08,2.37,10642.237466839724,7994.778602193358,27.768501000840903,27.575346000840906,4,2,5.387356423808614,5.043798317578401,23,8.5,8.5
Ofatumumab,54,10,10,0,38,3,8,113,9,0,8860,6,22,31,18,8781,53,46,0,1,4.3190902934537245,199,622,21,-82.71049499511719,6,249,8317,96.28997802734376,135,328,219,22.98,4.08,4.92,10484.78870107039,8088.260219944246,27.25511012156726,26.85413012156726,4,2,5.829388735687421,4.907428134479234,20,9.41,9.17
Olendalizumab,51,8,8,2,50,3,6,114,12,0,8630,12,20,31,44,8534,69,46,0,2,4.301841251448436,182,585,20,-82.63566589355469,11,248,8007,101.12435150146484,150,375,239,17.64,1.32,1.7,10720.302994277505,8088.010238854496,26.045271781520785,25.906721781520783,4,2,5.131759620858562,4.635197416075706,16,8.04,7.92
Olokizumab,53,13,8,0,50,2,3,114,18,0,8949,4,16,26,23,8860,58,50,0,2,4.309780981115209,198,639,24,-79.87841796875,10,283,8390,101.12641143798828,119,349,217,5.98,0.07,0.8,10534.582224157088,8070.430020859254,25.53191909649517,25.46671909649517,4,2,5.509023999210659,4.40119057989205,21,7.7,7.1
Omodenbamab,54,14,9,0,33,4,5,115,9,4,9032,4,22,27,22,8956,45,63,0,2,4.294054472984943,196,610,24,-85.06190490722656,8,282,8360,96.28572082519533,139,455,250,10.98,4.83,5.19,10593.929110187852,8088.269005506616,28.17673518963982,27.75375018963982,4,2,5.3225524640416575,4.839415827974637,23,9.86,9.54
Opicinumab,50,15,8,0,31,2,9,116,12,0,8722,5,19,29,30,8641,46,47,0,2,4.307780325613392,190,610,29,-82.665496826171875,12,255,8137,100.6217041015625,122,380,217,22.35,-0.16,0.7,10124.683454321488,7702.200346455952,25.655310419937123,25.598260419937123,4,2,5.919140220811293,5.187305051542086,23,7.35,6.63
Atoltivimab,53,14,8,0,53,4,7,112,12,0,9002,3,21,26,28,8906,64,47,0,2,4.304895578760275,197,644,22,-84.58479309082031,10,275,8350,96.67497253417967,140,414,228,7.5,5.55,5.08,10241.568590709485,7888.292009146599,26.47283422227196,26.05881422227196,4,2,5.8368664575129845,4.923855168359353,22,9.6,9.41
Ordesekimab,49,12,12,0,57,4,12,115,15,0,9128,3,18,28,50,9021,73,47,0,2,4.285678133216478,180,652,37,-80.94312286376953,10,256,8431,96.25911712646484,156,432,273,13.43,5.06,4.97,10424.91123751563,7955.788142394594,26.392764354541352,25.98770935454135,8,2,5.469938936136301,4.6420983406344165,24,9.61,9.2
Orilanolimab,58,8,13,3,40,4,8,107,6,0,7969,3,19,32,22,7889,52,49,0,2,4.310239678755177,179,507,16,-83.261322021484375,7,237,7413,98.35423278808594,126,348,203,7.09,8.07,8.16,10945.48411741538,8497.843544417921,27.86671936648725,27.201679366487248,4,2,5.155658321861932,4.464620665405045,21,10,10
Orticumab,49,14,9,4,37,0,6,118,9,0,8341,2,13,33,25,8267,45,39,0,2,4.308200455580866,203,489,18,-87.420318603515625,6,266,7771,95.60604095458984,135,359,214,9.2,7.07,7.11,10834.346959140954,8065.024603932957,27.5006191881878,26.921154188187803,4,2,4.3306523575718,4.360791201713704,23,10.06,9.75
Avdoralimab,53,9,8,0,46,5,8,114,15,0,8863,3,20,28,38,8777,59,47,0,1,4.309183120839444,190,590,33,-83.9356689453125,10,266,8305,94.60128021240234,109,362,216,11.83,5.07,5.98,10631.0412174772,7949.060429085597,26.468589382776027,25.98121938277603,4,2,5.112634269057661,4.6687110599494055,17,9.73,9.25
Pacmilimab,51,11,6,0,39,2,7,108,12,0,8010,4,24,26,16,7933,51,37,0,2,4.311501872659177,181,566,25,-81.66606903076172,9,242,7503,99.93351745605467,120,308,200,4.25,5.82,5.77,10430.75422568383,7839.594765610806,27.935266679085963,27.46501167908596,4,2,5.1991161594380255,5.249230166231572,17,9.93,9.55
Pembrolizumab,51,6,10,0,49,5,9,121,9,0,8807,7,18,32,26,8715,67,46,0,2,4.319679800158965,181,607,27,-82.24458312988281,9,245,8254,102.265380859375,134,325,218,19.39,4.32,4.39,10588.80870977579,7954.441197127563,27.358417777602128,27.000632777602128,4,2,5.347227599266994,4.65618998500798,16,9.5,9.1
Penpulimab,51,12,9,0,42,1,7,116,9,0,8549,5,16,33,21,8466,54,48,0,2,4.313100947479238,183,589,27,-82.040435791015625,8,262,8014,98.103515625,125,325,212,9.17,3.83,3.92,10535.200944651471,8062.909653831604,25.366597185147636,25.04711718514764,4,2,4.9483038974187545,4.302895672291757,21,9.41,9.13
Perakizumab,49,15,11,0,40,2,7,120,12,0,8876,6,15,33,43,8793,53,52,0,2,4.302442541685444,199,584,28,-83.88995361328125,4,269,8272,96.68952941894533,132,387,216,9.71,1.83,3.07,10258.747873662682,7783.091321646954,25.333062342887203,25.0828573428872,4,2,4.275591388719986,4.807431573280022,26,9.2,8.47
Prezalumab,54,17,7,1,46,5,8,109,12,0,8855,3,19,32,33,8759,59,47,0,2,4.313116883116884,191,582,24,-82.64756774902344,13,268,8261,90.7748794555664,127,369,223,14.55,2.84,3.95,10561.35306317513,8246.931996760519,27.22500465521235,26.90307965521235,4,2,5.140179632160162,4.661056328979595,24,9.19,8.91
Pucotenlimab,49,23,9,0,40,2,8,119,12,0,8702,4,19,30,36,8602,52,44,0,1,4.312625833141807,197,630,24,-81.29302215576172,16,270,8129,99.9283676147461,139,333,213,7.11,4.84,4.92,10538.892612419471,7872.086569268346,26.016846862915564,25.615866862915563,4,2,4.762716422220032,3.9371445837341392,32,9.52,9.44
Rafivirumab,59,8,9,5,38,1,8,107,6,0,8411,6,25,37,60,8328,52,50,0,2,4.284174295565332,175,520,15,-83.818389892578125,14,248,7751,82.23181915283203,154,421,250,18.56,2.06,2.87,11802.94921299437,8747.292479709995,30.410765085000023,30.176860085000023,8,2,4.413381558070119,5.0948817532427055,17,8.73,8.39
Ramucirumab,47,12,12,0,41,3,5,117,12,0,8382,4,19,28,28,8299,51,44,0,2,4.324856836077308,190,567,27,-84.58921813964844,8,251,7909,98.355133056640625,103,285,198,5.67,4.82,5.01,10270.677011033074,7741.892335695388,27.519795386977517,27.11148038697751,4,2,5.201926053130475,4.383508936713961,24,9.52,9.42
Ravagalimab,55,14,8,2,45,1,8,112,12,0,8962,4,20,27,58,8868,57,36,0,2,4.322964740013389,192,658,24,-82.58028411865234,15,271,8440,104.92454528808594,119,307,211,14.12,3.83,4.89,10746.14066572344,8211.283525924038,25.89689364809547,25.498358648095472,4,2,4.864967383452457,5.269731821831397,22,9.49,9.14
Refanezumab,51,9,7,1,50,3,10,125,15,0,9322,10,18,28,56,9221,71,44,0,2,4.300975112636774,185,649,14,-83.54542541503906,14,257,8656,97.72352600097656,152,411,234,13.82,0.31,0.83,11391.469897577264,8853.701585678873,30.93701471100663,30.86936971100663,4,2,6.069504808808473,4.384400800333426,16,7.41,7.23
Rilotumumab,57,9,6,0,40,2,7,112,18,0,8766,0,19,22,93,8683,48,48,0,2,4.288626511521788,200,668,28,-78.743011474609375,20,266,8073,97.354400634765625,152,456,243,2.32,4.83,4.89,10684.379606549492,8287.221363701778,30.080273534894577,29.681738534894578,4,2,5.378267710293772,5.194642065457823,15,9.74,9.3
Rinucumab,55,7,13,0,43,0,5,114,12,0,8630,0,21,25,31,8548,48,51,0,3,4.295507531865586,186,565,39,-80.12775421142578,14,252,7982,99.756805419921875,151,412,238,0.54,6.05,5.41,10617.689414355766,8260.345209369476,28.968074772457847,28.527159772457846,4,2,5.619784156350978,5.088472415870896,20,9.81,9.36
Ripertamab,45,11,11,1,50,0,7,118,9,0,8384,9,17,33,61,8276,66,47,0,1,4.316792700381679,175,562,11,-87.03363800048828,20,248,7833,99.91615295410156,133,309,214,7.64,7.4,6.85,10391.08253839893,7796.528306936628,28.88590429335521,28.327629293355216,4,2,6.341725859260372,4.840868090443149,22,9.79,9.63
Robatumumab,50,11,13,0,37,4,8,115,12,0,8814,6,18,30,53,8723,53,44,0,2,4.300393691853869,198,569,28,-82.155120849609375,14,265,8166,99.71337127685548,153,402,232,9.4,7.8,6.81,10154.958468034662,7697.11253566876,24.772628288571184,24.217613288571183,4,2,6.401060628984366,4.730992466495791,24,10,10
Roledumab,56,10,7,1,46,7,8,110,9,0,9464,2,18,36,62,9378,59,44,0,2,4.282391166525782,202,650,24,-81.55171203613281,10,277,8717,97.131256103515625,166,493,255,11.03,7.4,7.72,10656.07397634191,8319.062922226978,24.825772293550617,24.196592293550616,4,2,5.00230111626096,4.671950741247462,17,10.2,9.8
Bapotulimab,54,6,9,2,39,0,4,113,15,0,8474,7,17,30,17,8401,50,46,0,2,4.307933679490206,190,571,32,-80.4086685180664,8,243,7927,97.898681640625,134,338,213,7.1,3.92,5.56,10958.95713029155,8256.876382303148,29.252791944116066,28.79965194411606,4,2,5.119661122452754,5.883873212222039,15,9.8,9.4
Romosozumab,54,6,8,0,39,3,6,113,9,0,8964,8,22,32,62,8879,55,47,0,2,4.292878179384204,184,618,31,-85.923919677734375,16,261,8281,100.69693756103516,158,438,261,12.9,0.07,-0.16,10382.372972701702,7855.024089527867,25.71329621254785,25.72633621254785,4,2,5.711646494969963,4.153350906730547,14,6.8,7.1
Rosmantuzumab,54,7,7,1,39,0,5,109,9,0,8419,6,22,30,31,8344,50,48,0,2,4.312412400522627,188,541,17,-84.00931549072266,11,252,7850,98.901336669921875,140,352,242,9.06,0.07,-0.11,10669.233624108052,8196.949538431118,26.40088617089698,26.40985117089698,4,2,5.661789713188235,4.163614632239587,14,6.9,7.1
Rozanolixizumab,52,11,9,0,46,1,7,116,12,0,9021,3,20,28,82,8934,56,46,0,2,4.304602593947457,200,679,28,-83.76710510253906,11,267,8364,97.08465576171876,146,422,237,1.19,4.31,3.92,10320.521602335022,7760.019482629823,27.00143493991437,26.68195493991437,4,2,5.763696172066106,4.547309243318802,20,9.5,9.2
Barecetamab,56,12,8,4,34,0,6,108,9,0,8502,3,15,34,42,8432,43,37,0,2,4.309569513055751,204,504,14,-84.39737701416016,7,272,7938,93.429840087890625,133,359,238,23.77,-3.44,-2.26,10530.456657667166,7818.64975720295,26.9947356721448,27.1789256721448,4,2,5.037795780220241,4.309279799178071,20,6.22,5.37
Ruplizumab,52,4,13,1,46,2,7,117,9,0,8690,9,16,34,23,8604,62,49,0,2,4.297673187571922,188,593,26,-82.49559783935547,7,261,8036,100.82752990722656,157,409,250,15.04,1.33,2.26,10854.76745378374,8404.161025203884,28.032054811066104,27.847864811066103,4,2,5.578211961749251,4.6688584165324825,17,8.55,7.94
Samalizumab,47,5,9,0,47,1,6,118,12,0,8610,3,17,30,72,8525,56,51,0,2,4.300903600464576,183,647,32,-83.88616180419922,15,258,7977,102.6946258544922,132,414,226,6.7,5.07,4.66,10694.443550376622,8272.56015683877,25.62656074693319,25.24677074693319,4,2,5.076366309833402,3.8994692179516375,14,9.52,9.22
Sapelizumab,51,10,9,0,40,1,9,115,12,0,8681,5,17,31,30,8593,54,53,0,1,4.304993664324386,209,571,28,-80.55487060546875,15,278,8091,93.50755310058594,133,368,221,4.71,-3.95,-4.76,10291.380441252051,7891.684779721586,26.6254228328672,27.0133628328672,4,2,4.29080522524643,5.556810789087761,19,6,6
Sarilumab,55,11,9,1,41,2,9,112,9,0,8426,2,18,28,51,8340,52,50,0,2,4.305169712793734,182,598,24,-82.21837615966797,14,246,7874,97.0421371459961,132,332,224,9.29,3.08,3.43,10289.128904562493,7829.162952942447,24.64513040233523,24.36558540233523,4,2,5.471640932990471,4.673475360414867,20,9.29,9.04
Satralizumab,51,10,9,0,40,1,9,115,12,0,8673,5,17,31,30,8585,54,53,0,1,4.306713939813213,207,566,28,-80.55487060546875,15,278,8089,93.50755310058594,132,363,220,4.76,-3.95,-4.76,10296.49727066568,7899.727427011739,26.643512364622964,27.031452364622965,4,2,4.29080522524643,5.556810789087761,19,6,6
Basiliximab,48,6,7,0,46,3,14,117,12,0,8820,11,15,29,73,8714,72,48,0,2,4.30140589569161,188,539,28,-83.998199462890625,21,258,8170,98.60176849365234,152,390,213,10.71,8.55,8.28,10324.082683911563,7903.803256932156,27.813734101827205,27.138914101827204,4,2,6.158843130130802,5.412227825442675,13,9.82,9.61
Secukinumab,47,11,10,0,41,5,12,122,15,6,9535,4,21,24,109,9434,58,48,0,2,4.296630309386471,207,628,32,-82.602569580078125,22,275,8828,95.35059356689452,157,447,255,17.95,2.07,2.9,11136.537746835536,8599.723276527324,28.46232906321953,28.225979063219533,8,2,4.924363769377786,4.966759321219256,21,8.7,8.4
Serplulimab,47,13,7,0,39,2,6,115,9,0,8070,4,21,31,35,7984,50,36,0,2,4.318721189591078,181,556,20,-85.39192962646484,16,242,7563,97.12062072753906,122,297,207,7.77,6.3,6.83,10701.737113304504,8174.687636703651,28.910374822866014,28.35372982286602,4,2,5.37285365332143,5.4606057444830345,20,9.8,9.5
Setrusumab,51,16,8,5,41,6,10,106,9,0,8919,3,20,35,26,8831,56,50,0,2,4.313548604103599,191,515,20,-80.83231353759766,8,283,8344,93.8145980834961,135,350,235,22.06,-0.36,0.6,10328.60306617536,7748.274536796591,27.45230413866969,27.403404138669693,4,2,3.9402951502574335,4.628481340268632,24,7.43,6.79
Batoclimab,50,3,13,2,41,1,7,111,9,0,8609,0,19,37,36,8532,48,37,0,1,4.306299221744686,190,534,27,-83.53376770019531,13,269,8019,100.1548309326172,126,386,227,4.89,1.64,1.22,10616.11875844822,8077.230404426465,30.131262057762857,30.031832057762852,4,2,5.0591964264509,4.66648709326357,16,8.4,8.4
Siltuximab,52,7,6,0,34,7,11,113,9,0,8802,9,22,29,50,8718,57,43,0,2,4.302293796864348,196,595,30,-84.3821792602539,14,270,8175,102.65022277832033,145,396,221,14.15,2.84,3.51,10273.228814560174,7837.835293218406,29.17466191783183,28.88859691783183,4,2,6.032064700961127,5.09911244561213,13,9.18,8.81
Sirukumab,48,10,9,0,35,4,12,116,12,0,8609,12,25,24,44,8519,60,50,0,2,4.297393425484957,178,627,27,-85.35643005371094,11,242,7991,100.83776092529295,151,375,211,20.24,0.83,1.91,10344.031627861104,7776.879807138235,29.899718123521467,29.744053123521468,4,2,5.575557699807586,4.636407600982426,19,8.1,7.9
