subset_threshold, dominating_set, doublets, isolated_nodes
AbChain_fv_IgM_mouse_0.7,"'AbChain_14_charge', 'AbChain_4_charge'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_av_resdiue_weight', 'AbChain_tiny_content'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_num_weak_binders', 'AbChain_full_average_rank'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_small_content', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgM_mouse_0.8,"'AbChain_7_charge', 'AbChain_14_charge', 'AbChain_basic_content'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_num_weak_binders', 'AbChain_full_average_rank'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_immunopeptide_regions_span'"
AbChain_fv_IgM_mouse_0.9,"'AbChain_3_charge', 'AbChain_pI', 'AbChain_12_charge'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span'"
AbChStruc_fv_IgA_human_0.1,"'AbStruc_beta_bends', 'AbStruc_steric_clashes', 'AbChain_immunopeptide_regions_span', 'AbStruc_hbonds', 'AbStruc_psi_angle', 'AbStruc_amide_ring_interactions', 'AbChain_length', 'AbChain_solubility'","","'AbStruc_pi_helices', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgA_human_0.2,"'AbChain_full_average_rank', 'AbChain_solubility', 'AbStruc_carbon_pi_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_hbonds', 'AbStruc_beta_turns', 'AbStruc_steric_clashes', 'AbStruc_pcharge_hetrgen', 'AbStruc_beta_strands', 'AbStruc_cys_bridges', 'AbChain_aliphatic_content'","","'AbChain_immunopeptide_regions_span', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgA_human_0.3,"'AbStruc_free_cys', 'AbStruc_plane_group_interactions', 'AbChain_min_rank', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen', 'AbChain_1_charge', 'AbStruc_carbonyl_interactions', 'AbStruc_folding_energy', 'AbStruc_plane_plane_interactions', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bridges', 'AbChain_aromatic_content', 'AbChain_aliphatic_content', 'AbStruc_phi_angle'","{'AbStruc_beta_turns', 'AbStruc_threeten_helices'}","'AbChain_solubility', 'AbChain_instaindex', 'AbChain_immunopeptide_regions_span', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_cys_bridges'"
AbChStruc_fv_IgA_human_0.4,"'AbChain_percentextcoef', 'AbStruc_aromatic_interactions', 'AbStruc_loops', 'AbChain_acidic_content', 'AbChain_aliphindex', 'AbStruc_atom_plane_sum', 'AbChain_hydrophobicity', 'AbStruc_mean_interaction_distance', 'AbStruc_plane_group_interactions', 'AbStruc_carbonyl_interactions', 'AbChain_av_resdiue_weight', 'AbChain_min_rank', 'AbStruc_free_cys', 'AbStruc_ncharge_hetrgen'","{'AbStruc_beta_turns', 'AbStruc_threeten_helices'}","'AbChain_solubility', 'AbChain_instaindex', 'AbChain_immunopeptide_regions_span', 'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen'"
AbChStruc_fv_IgA_human_0.5,"'AbStruc_plane_group_interactions', 'AbStruc_lauer_SAP', 'AbStruc_free_cys', 'AbStruc_weak_pbonds', 'AbChain_nonpolar_content', 'AbChain_1_charge', 'AbChain_13_charge', 'AbStruc_amide_ring_interactions', 'AbStruc_atom_plane_sum', 'AbChain_num_strong_binders', 'AbChain_av_resdiue_weight', 'AbStruc_vdw_clashes'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbStruc_loops', 'AbStruc_beta_strands'}, {'AbStruc_beta_turns', 'AbStruc_threeten_helices'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_immunopeptide_regions_span', 'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgA_human_0.6,"'AbStruc_cation_pi_interactions', 'AbStruc_pbonds', 'AbStruc_plane_group_interactions', 'AbStruc_vdw_clashes', 'AbStruc_atom_plane_sum', 'AbChain_acidic_content', 'AbChain_12_charge', 'AbStruc_schains_sasa', 'AbChain_basic_content', 'AbStruc_free_cys', 'AbChain_num_strong_binders', 'AbChain_small_content'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_beta_turns', 'AbStruc_threeten_helices'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_beta_bridges', 'AbStruc_beta_strands', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgA_human_0.7,"'AbChain_4_charge', 'AbChain_hydrophobicity', 'AbStruc_total_interactions', 'AbChain_mw', 'AbChain_14_charge', 'AbChain_av_resdiue_weight', 'AbChain_num_weak_binders', 'AbStruc_free_cys'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_plane_group_interactions', 'AbStruc_amide_amide_interactions'}, {'AbStruc_atom_plane_sum', 'AbStruc_carbon_pi_interactions'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgA_human_0.8,"'AbChain_basic_content', 'AbStruc_free_cys', 'AbStruc_pbonds', 'AbChain_14_charge', 'AbStruc_unfolded_pI'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_num_weak_binders', 'AbChain_full_average_rank'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_plane_group_interactions', 'AbStruc_amide_amide_interactions'}, {'AbStruc_atom_plane_sum', 'AbStruc_carbon_pi_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_aromatic_interactions', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_plane_plane_interactions', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgA_human_0.9,"'AbChain_12_charge', 'AbStruc_total_interactions', 'AbChain_pI', 'AbChain_3_charge'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_amide_amide_interactions', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_carbon_pi_interactions', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_aromatic_interactions', 'AbStruc_atom_plane_sum', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_mean_interaction_distance', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_plane_plane_interactions', 'AbStruc_pbonds', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_vdw_clashes', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen', 'AbStruc_plane_group_interactions'"
AbChStruc_fv_IgD_human_0.1,"'AbStruc_steric_clashes', 'AbStruc_amide_ring_interactions', 'AbStruc_ibonds', 'AbStruc_ncharge_hetrgen', 'AbChain_aliphindex', 'AbStruc_psi_angle', 'AbStruc_beta_bridges'","","'AbStruc_pi_helices', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgD_human_0.2,"'AbChain_cysbridges_percenextcoef', 'AbChain_immunopeptide_regions_span', 'AbStruc_beta_bends', 'AbStruc_hbonds', 'AbStruc_carbon_pi_interactions', 'AbChain_11_charge', 'AbStruc_steric_clashes', 'AbStruc_beta_bridges', 'AbStruc_ibonds', 'AbStruc_phi_angle'","","'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgD_human_0.3,"'AbStruc_covbonds', 'AbStruc_phi_angle', 'AbStruc_amide_amide_interactions', 'AbStruc_beta_turns', 'AbStruc_plane_plane_interactions', 'AbStruc_loops', 'AbChain_aliphatic_content', 'AbStruc_donor_pi_interactions', 'AbChain_1_charge', 'AbStruc_carbonyl_interactions', 'AbChain_cysbridges_percenextcoef', 'AbStruc_beta_strands'","","'AbChain_immunopeptide_regions_span', 'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_steric_clashes', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgD_human_0.4,"'AbChain_cysbridges_percenextcoef', 'AbChain_aromatic_content', 'AbStruc_plane_group_interactions', 'AbChain_min_rank', 'AbStruc_ncharge_hetrgen', 'AbChain_solubility', 'AbStruc_atom_plane_sum', 'AbChain_3_charge', 'AbStruc_aromatic_interactions', 'AbStruc_mean_interaction_distance', 'AbStruc_cys_bridges', 'AbStruc_folding_energy', 'AbChain_nonpolar_content', 'AbChain_aliphatic_content', 'AbStruc_schains_sasa', 'AbStruc_carbonyl_interactions'","{'AbStruc_beta_turns', 'AbStruc_threeten_helices'}","'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgD_human_0.5,"'AbStruc_lauer_SAP', 'AbStruc_atom_plane_sum', 'AbStruc_vdw_clashes', 'AbChain_10_charge', 'AbStruc_weak_pbonds', 'AbStruc_plane_group_interactions', 'AbChain_hydrophobicity', 'AbChain_av_resdiue_weight', 'AbChain_num_weak_binders', 'AbStruc_beta_strands', 'AbStruc_free_cys'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbStruc_beta_turns', 'AbStruc_threeten_helices'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbChain_solubility', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgD_human_0.6,"'AbChain_hydrophobicity', 'AbStruc_pbonds', 'AbChain_aromatic_content', 'AbStruc_plane_group_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_atom_plane_sum', 'AbChain_min_rank', 'AbChain_10_charge', 'AbStruc_vdw_clashes', 'AbStruc_beta_strands', 'AbChain_small_content', 'AbChain_num_strong_binders', 'AbStruc_free_cys', 'AbStruc_amide_ring_interactions', 'AbStruc_lauer_DI'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_beta_bridges', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgD_human_0.7,"'AbChain_mw', 'AbChain_num_strong_binders', 'AbStruc_schains_sasa', 'AbStruc_total_interactions', 'AbStruc_free_cys', 'AbChain_basic_content', 'AbChain_10_charge'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_plane_group_interactions', 'AbStruc_amide_amide_interactions'}, {'AbStruc_atom_plane_sum', 'AbStruc_carbon_pi_interactions'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgD_human_0.8,"'AbStruc_folded_pI', 'AbStruc_pbonds', 'AbChain_num_weak_binders', 'AbChain_hydrophobicity', 'AbChain_13_charge', 'AbStruc_beta_strands', 'AbChain_1_charge'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_plane_group_interactions', 'AbStruc_amide_amide_interactions'}, {'AbStruc_atom_plane_sum', 'AbStruc_carbon_pi_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_aromatic_interactions', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_plane_plane_interactions', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgD_human_0.9,"'AbChain_14_charge', 'AbChain_10_charge', 'AbChain_basic_content', 'AbStruc_total_interactions', 'AbChain_5_charge', 'AbChain_pI'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_amide_amide_interactions', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_carbon_pi_interactions', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_aromatic_interactions', 'AbStruc_atom_plane_sum', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_mean_interaction_distance', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_plane_plane_interactions', 'AbStruc_pbonds', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_vdw_clashes', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen', 'AbStruc_plane_group_interactions'"
AbChStruc_fv_IgE_human_0.1,"'AbStruc_ibonds', 'AbStruc_cys_bridges', 'AbStruc_steric_clashes', 'AbStruc_threeten_helices', 'AbStruc_amide_ring_interactions', 'AbStruc_psi_angle'","",""
AbChStruc_fv_IgE_human_0.2,"'AbStruc_steric_clashes', 'AbStruc_beta_bridges', 'AbStruc_ibonds', 'AbStruc_cys_bridges', 'AbStruc_hbonds', 'AbChain_nonpolar_content', 'AbStruc_carbon_pi_interactions', 'AbStruc_psi_angle', 'AbChain_solubility', 'AbChain_num_weak_binders'","",""
AbChStruc_fv_IgE_human_0.3,"'AbChain_aromatic_content', 'AbChain_min_rank', 'AbStruc_covbonds', 'AbStruc_cation_pi_interactions', 'AbStruc_loops', 'AbChain_full_average_rank', 'AbStruc_donor_pi_interactions', 'AbStruc_threeten_helices', 'AbChain_1_charge', 'AbStruc_carbonyl_interactions', 'AbStruc_cys_bridges', 'AbStruc_plane_plane_interactions', 'AbStruc_amide_amide_interactions', 'AbChain_aliphatic_content'","{'AbStruc_hbonds', 'AbStruc_ibonds'}","'AbChain_immunopeptide_regions_span', 'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_steric_clashes', 'AbStruc_psi_angle'"
AbChStruc_fv_IgE_human_0.4,"'AbStruc_atom_plane_sum', 'AbStruc_aromatic_interactions', 'AbChain_aromatic_content', 'AbStruc_threeten_helices', 'AbChain_basic_content', 'AbChain_cysbridges_percenextcoef', 'AbStruc_mean_interaction_distance', 'AbStruc_plane_group_interactions', 'AbChain_instaindex', 'AbStruc_beta_strands', 'AbChain_nonpolar_content', 'AbChain_hmom', 'AbStruc_carbonyl_interactions', 'AbStruc_loops', 'AbChain_solubility', 'AbChain_num_strong_binders'","","'AbChain_immunopeptide_regions_span', 'AbStruc_beta_bridges', 'AbStruc_alpha_helices', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_psi_angle', 'AbStruc_folding_energy', 'AbStruc_cys_bridges'"
